suburb,postcode
Ravenswood,3453
Rawson,3825
Raymond Island,3880
Raywood,3570
Red Bluff,3695
Red Cliffs,3496
Red Hill,3937
Red Hill South,3937
Redan,3350
Redbank,3478
Redesdale,3444
Reedy Creek,3658
Regent West,3072
Research,3095
Reservoir,3073
Rhyll,3923
Richmond,3121
Riddells Creek,3431
Ringwood,3134
Ringwood East,3135
Ringwood North,3134
Ripplebrook,3818
Ripponlea,3185
Robinson,3019
Robinvale,3549
Rochester,3561
Rochford,3442
Rockbank,3335
Rocklands,3401
Rocklyn,3364
Rokeby,3821
Rokewood,3330
Rokewood Junction,3351
Romsey,3434
Rosanna,3084
Rosebrook,3285
Rosebud,3939
Rosebud West,3940
Rosedale,3847
Ross Creek,3351
Rowsley,3340
Rowville,3178
Roxburgh Park,3064
Royal Melbourne Hospital,3050
Rubicon,3712
Ruffy,3666
Rupanyup,3388
Rushworth,3612
Russells Bridge,3331
Rutherglen,3685
Rye,3941
Safety Beach,3936
Saint Helena,3088
Sale,3850
Sale,3853
Salisbury West,3517
San Remo,3925
Sandford,3312
Sandhurst East,3550
Sandown Village,3171
Sandringham,3191
Sandy Creek,3695
Sandy Point,3959
Sarsfield,3875
Sassafras,3787
Sassafras Gully,3787
Scarsdale,3351
Scoresby,3179
Scoresby Bc,3176
Scotsburn,3352
Scotts Creek,3267
Sea Lake,3533
Seabrook,3028
Seaford,3198
Seaholme,3018
Seaspray,3851
Seaton,3858
Sebastian,3556
Sebastopol,3356
Seddon,3011
Seddon West,3011
Selby,3159
Serpentine,3517
Serviceton,3420
Seville,3139
Seymour,3660
Seymour,3661
She Oaks,3331
Sheep Hills,3392
Shelbourne,3463
Shelford,3329
Shelley,3701
Shepparton,3630
Shepparton,3632
Shepparton East,3631
Sherbrooke,3789
Shoreham,3916
Silvan,3795
Simmie,3564
Simpson,3266
Simson,3465
Skenes Creek,3615607
Skipton,3361
Skye,3977
Smeaton,3364
Smiths Gully,3760
Smythes Creek,3351
Smythesdale,3351
Snake Valley,3351
Somers,3927
Somerton,3062
Somerville,3912
Sorrento,3943
South Dudley,3995
South Kingsville,3015
South Melbourne,3205
South Melbourne Dc,3205
South Morang,3752
South Yarra,3141
Southbank,3006
Southern Cross,3283
Southland Centre,3192
Sovereign Hill,3350
Speed,3488
Spotswood,3015
Spring Gully,3550
Springbank,3352
Springhurst,3682
Springvale,3171
Springvale South,3172
St Albans,3021
St Albans Park,3219
St Andrews,3761
St Andrews Beach,3941
St Arnaud,3478
St Helens,3285
St James,3727
St Kilda,3182
St Kilda East,3183
St Kilda Road,8004
St Kilda Road Central,8008
St Kilda South,3182
St Kilda West,3182
St Leonards,3223
Staghorn Flat,3691
Stanhope,3623
Stanley,3747
Staughton Vale,3221
Stavely,3379
Stawell,3380
Steels Creek,3775
Steiglitz,3331
Stonehaven,3221
Stony Creek,3371
Stony Creek,3957
Stonyford,3260
Stratford,3862
Strath Creek,3658
Strathallan,3622
Strathbogie,3666
Strathdale,3550
Strathdownie,3312
Strathewen,3099
Strathfieldsaye,3551
Strathkellar,3301
Strathmerton,3641
Strathmore,3041
Strathmore Heights,3041
Streatham,3351
Stuart Mill,3478
Studfield,3152
Sunbury,3429
Sunnycliffs,3496
Sunshine,3020
Surrey Hills,3127
Sutherlands Creek,3331
Sutton Grange,3448
Swan Hill,3585
Swan Marsh,3249
Swan Reach,3903
Swanpool,3673
Swifts Creek,3896
Sydenham,3037
Syndal,3149
Tabilk,3607
Taggerty,3714
Talbot,3371
Talgarno,3691
Tallangatta,3700
Tallarook,3659
Tallygaroopna,3634
Tambo Crossing,3893
Tambo Upper,3885
Tamleugh,3669
Tamleugh West,3631
Tandarra,3571
Tangambalanga,3691
Tanjil South,3825
Tankerton,3921
Taradale,3447
Tarnagulla,3551
Tarneit,3029
Tarranyurk,3422
Tarraville,3971
Tarrington,3301
Tarwin,3956
Tatong,3673
Tatura,3616
Tatyoon,3378
Tawonga,3697
Tawonga South,3698
Taylors Lakes,3038
Tecoma,3160
Teesdale,3328
Telangatuk East,3401
Telford,3730
Templestowe,3106
Templestowe Lower,3107
Tempy,3489
Tenby Point,3984
Tennyson,3572
Terang,3264
The Basin,3154
The Gurdies,3984
The Patch,3792
The Sisters,3265
Thomastown,3074
Thoona,3726
Thornbury,3071
Thornton,3712
Thorpdale,3835
Thorpdale South,3824
Thowgla Valley,3707
Three Bridges,3797
Tidal River,3960
Timboon,3268
Tinamba,3859
Tintaldra,3708
Tongala,3621
Tonimbuk,3815
