rental_id,top_distances,top_tram_ids
17711498,"[1369.04, 1743.04, 1972.05, 2136.49, 19855.38]","[16713, 16714, 17313, 17312, 16715]"
15756398,"[822.11, 1196.11, 1448.87, 1620.91, 20124.23]","[16713, 16714, 17313, 17314, 16715]"
17739826,"[816.32, 826.98, 1190.31, 1751.38, 15637.35]","[16713, 17314, 16714, 17313, 16715]"
16146902,"[825.89, 1199.88, 1426.79, 1624.68, 20037.01]","[16713, 16714, 17313, 17314, 16715]"
17679269,"[825.67, 1199.66, 1426.57, 1624.46, 20036.79]","[16713, 16714, 17313, 17314, 16715]"
17746349,"[1058.22, 1432.22, 1825.67, 1993.28, 2179.15]","[16713, 16714, 17312, 17313, 17311]"
17737818,"[1058.22, 1432.22, 1825.67, 1993.28, 2179.15]","[16713, 16714, 17312, 17313, 17311]"
17347363,"[1058.22, 1432.22, 1825.67, 1993.28, 2179.15]","[16713, 16714, 17312, 17313, 17311]"
17736041,"[1248.23, 1622.23, 1671.76, 1757.33, 2015.68]","[16713, 16714, 17314, 17313, 17312]"
17739630,"[1767.89, 2141.89, 2301.99, 2439.54, 2535.34]","[16713, 16714, 18086, 17313, 17312]"
17729499,"[1029.77, 1076.7, 1450.69, 2011.76, 2049.04]","[17314, 16713, 16714, 17313, 18730]"
17747119,"[639.05, 1450.24, 2217.69, 2538.29, 20581.71]","[17310, 16713, 17312, 17311, 2113]"
17749126,"[639.05, 1450.24, 2217.69, 2538.29, 20581.71]","[17310, 16713, 17312, 17311, 2113]"
17181166,"[788.03, 1599.22, 2366.67, 2687.27, 20455.55]","[17310, 16713, 17312, 17311, 2113]"
17457603,"[665.39, 1476.58, 2244.03, 2564.63, 20504.21]","[17310, 16713, 17312, 17311, 2113]"
17163844,"[639.05, 1450.24, 2217.69, 2538.29, 20581.71]","[17310, 16713, 17312, 17311, 2113]"
17710487,"[639.05, 1450.24, 2217.69, 2538.29, 20581.71]","[17310, 16713, 17312, 17311, 2113]"
17724144,"[1109.47, 1121.08, 1433.89, 1864.47, 25331.47]","[17310, 1784, 17311, 16713, 2113]"
17748073,"[1540.74, 1784.78, 15193.58, 19050.44, 19136.86]","[16716, 16717, 17316, 17315, 16715]"
17717203,"[978.64, 1442.32, 1603.02, 14075.99, 15483.61]","[17314, 16716, 17313, 17315, 16715]"
17615695,"[854.1, 1101.48, 14291.38, 14501.38, 15469.03]","[16716, 16717, 17315, 17316, 21961]"
17746817,"[750.1, 1046.93, 14192.95, 14402.95, 15370.6]","[16716, 16717, 17315, 17316, 21961]"
17751076,"[933.49, 1231.14, 1688.52, 14485.08, 15452.74]","[19362, 16717, 18725, 17316, 21961]"
15721898,"[152.96, 4768.47, 15158.95, 15407.44, 15809.06]","[16718, 16738, 16778, 16777, 16776]"
17722746,"[152.96, 4768.47, 15158.95, 15407.44, 15809.06]","[16718, 16738, 16778, 16777, 16776]"
17747848,"[351.93, 5310.09, 5535.07, 15051.31, 15452.94]","[16718, 19125, 16738, 16777, 16776]"
17753219,"[427.51, 2103.07, 13672.77, 18577.8, 18620.16]","[19361, 18724, 17319, 16719, 16720]"
17737704,"[439.57, 2115.13, 13660.71, 18565.74, 18608.1]","[19361, 18724, 17319, 16719, 16720]"
17677902,"[670.72, 2072.44, 14016.0, 18921.03, 18963.39]","[19362, 18725, 17319, 16719, 16720]"
17725799,"[405.81, 541.5, 1943.23, 23866.31, 23908.66]","[19361, 19362, 18725, 16719, 16720]"
17750757,"[136.74, 140.74, 181.72, 1224.96, 1607.17]","[16719, 19361, 19360, 18724, 17318]"
17702934,"[812.94, 878.8, 1246.29, 1548.68, 2040.75]","[19362, 16721, 16720, 18725, 17319]"
11549257,"[790.98, 856.84, 1224.33, 1526.72, 2018.79]","[19362, 16721, 16720, 18725, 17319]"
17718914,"[398.18, 533.87, 831.53, 1453.34, 1945.41]","[19362, 19361, 16720, 18725, 17319]"
17744652,"[390.09, 415.57, 497.92, 1671.8, 2331.85]","[16722, 16723, 16721, 17322, 17321]"
17746506,"[324.56, 350.04, 436.17, 1606.27, 2266.32]","[16722, 16723, 16721, 17322, 17321]"
17746948,"[68.09, 296.91, 323.23, 1464.34, 2124.39]","[16722, 16723, 16721, 17322, 17321]"
17717306,"[290.86, 519.68, 551.2, 1248.48, 1908.53]","[16722, 16723, 16721, 17322, 17321]"
16907098,"[23.61, 231.54, 1542.91, 1886.37, 2202.96]","[16722, 16721, 17322, 17320, 17321]"
17749356,"[732.38, 1016.94, 1161.88, 2298.65, 2958.7]","[16721, 16722, 17320, 17322, 17321]"
17737799,"[23.61, 231.54, 1542.91, 1886.37, 2202.96]","[16722, 16721, 17322, 17320, 17321]"
17744307,"[412.44, 617.88, 1796.91, 1899.59, 2559.64]","[16721, 16722, 17320, 17322, 17321]"
15248600,"[59.34, 195.81, 1578.65, 1850.64, 2238.69]","[16722, 16721, 17322, 17320, 17321]"
17733256,"[298.05, 578.06, 1682.52, 1859.77, 2519.82]","[16721, 16722, 17320, 17322, 17321]"
17747096,"[813.3, 882.47, 1068.43, 1329.14, 2343.7]","[16721, 17320, 16722, 19362, 18078]"
17729898,"[640.82, 666.3, 842.67, 1922.54, 2582.59]","[16722, 16723, 16724, 17322, 17321]"
15141642,"[650.01, 675.49, 704.19, 1931.73, 2591.78]","[16722, 16723, 16724, 17322, 17321]"
17742508,"[27.16, 202.61, 235.94, 1105.85, 1283.4]","[16723, 16724, 16722, 17323, 17322]"
17746240,"[177.49, 244.17, 440.11, 1144.33, 1321.88]","[16723, 16724, 16722, 17323, 17322]"
12905114,"[53.16, 209.94, 228.62, 1131.85, 1309.4]","[16723, 16722, 16724, 17323, 17322]"
17702590,"[133.68, 200.36, 433.05, 1100.52, 1278.06]","[16723, 16724, 16722, 17323, 17322]"
16731446,"[339.26, 389.33, 587.38, 788.94, 1719.16]","[16725, 16724, 16723, 17323, 17324]"
17713055,"[187.87, 306.87, 340.69, 844.2, 1492.92]","[16724, 16725, 16723, 17323, 17324]"
17727155,"[427.97, 599.93, 612.69, 790.24, 1731.71]","[16724, 16723, 17323, 17322, 17324]"
17748566,"[47.04, 128.43, 947.2, 1124.74, 1280.66]","[16724, 16723, 17323, 17322, 17324]"
17738665,"[506.04, 553.41, 678.0, 730.96, 939.58]","[16724, 17323, 16723, 17322, 18716]"
17734159,"[263.91, 465.55, 566.3, 1770.59, 1951.65]","[16725, 16724, 16726, 17324, 17325]"
17705777,"[112.27, 291.52, 1215.65, 1817.94, 1998.99]","[16725, 16724, 17323, 17324, 17325]"
17738273,"[112.27, 291.52, 1215.65, 1817.94, 1998.99]","[16725, 16724, 17323, 17324, 17325]"
17742268,"[112.27, 291.52, 1215.65, 1817.94, 1998.99]","[16725, 16724, 17323, 17324, 17325]"
17746791,"[199.94, 401.59, 928.26, 1706.63, 1887.68]","[16725, 16724, 17323, 17324, 17325]"
17749488,"[112.27, 291.52, 1215.65, 1817.94, 1998.99]","[16725, 16724, 17323, 17324, 17325]"
17730135,"[310.95, 417.64, 817.25, 1747.48, 1928.53]","[16725, 16724, 17323, 17324, 17325]"
17733884,"[310.95, 417.64, 817.25, 1747.48, 1928.53]","[16725, 16724, 17323, 17324, 17325]"
12194990,"[310.73, 417.86, 817.47, 1747.69, 1928.75]","[16725, 16724, 17323, 17324, 17325]"
16899439,"[82.55, 261.81, 1044.26, 1589.48, 1770.54]","[16725, 16724, 17323, 17324, 17325]"
17743509,"[439.89, 643.31, 683.82, 1340.07, 1947.05]","[16725, 16724, 17323, 18715, 17324]"
17726380,"[251.32, 358.47, 553.72, 2088.37, 2265.12]","[16726, 16727, 16725, 21962, 17325]"
17745657,"[214.98, 322.12, 517.37, 2052.03, 2228.78]","[16726, 16727, 16725, 21962, 17325]"
17749913,"[285.18, 507.42, 730.45, 2344.48, 2521.22]","[16727, 16726, 16728, 21962, 17325]"
17689728,"[531.63, 555.23, 685.3, 3184.17, 3423.46]","[19349, 16727, 16726, 18713, 21962]"
17749064,"[783.1, 2167.94, 2261.79, 11933.83, 12320.2]","[21962, 16727, 16728, 17327, 17329]"
17750726,"[839.71, 1841.28, 2329.18, 2423.03, 11739.48]","[19348, 18712, 16727, 16728, 17327]"
17715269,"[839.71, 1841.28, 2329.18, 2423.03, 11739.48]","[19348, 18712, 16727, 16728, 17327]"
17727503,"[1108.72, 2308.08, 2493.56, 2587.41, 11800.41]","[21962, 18713, 16727, 16728, 17327]"
17741549,"[728.99, 1172.15, 2371.51, 2556.98, 11569.25]","[19348, 21962, 18713, 16727, 19349]"
17617594,"[986.08, 2332.36, 3331.42, 11420.7, 12004.4]","[18548, 16728, 18068, 18067, 17327]"
17621114,"[589.77, 1769.27, 2435.62, 3434.68, 11523.96]","[18548, 18069, 16728, 18068, 18067]"
17731082,"[1660.03, 10874.12, 11066.16, 11130.92, 11236.03]","[16730, 16731, 17330, 17331, 16732]"
17733116,"[1941.81, 11155.89, 11190.03, 11347.93, 11576.4]","[16730, 16731, 17327, 17330, 17329]"
17747959,"[1964.99, 11179.08, 11213.22, 11371.12, 11599.59]","[16730, 16731, 17327, 17330, 17329]"
17749348,"[10931.77, 10955.49, 11147.52, 11212.29, 11317.4]","[17332, 16731, 17330, 17331, 16732]"
15933926,"[3196.03, 9546.56, 10362.48, 12262.56, 12265.75]","[17334, 17333, 16733, 16734, 16735]"
17678301,"[2472.17, 3401.86, 11838.53, 11841.72, 12082.35]","[20482, 17334, 16734, 16735, 19699]"
10052357,"[1279.3, 2796.84, 3726.53, 10169.42, 11914.9]","[19253, 20482, 17334, 19699, 16735]"
17747824,"[176.0, 203.61, 398.94, 12901.0, 13125.31]","[16738, 16739, 16740, 16775, 16776]"
17748157,"[422.6, 802.07, 10931.66, 11263.17, 12824.53]","[16738, 16739, 19125, 19124, 16776]"
14777988,"[386.87, 1297.39, 11779.25, 12537.87, 13302.91]","[16738, 16777, 19031, 18446, 16776]"
17702811,"[855.46, 9146.0, 10964.46, 11295.97, 12857.33]","[16738, 18938, 19125, 19124, 16776]"
17723822,"[268.58, 758.29, 12499.36, 13294.96, 13519.27]","[16739, 16740, 16774, 16775, 16776]"
17748520,"[108.39, 494.16, 12339.18, 13134.78, 13359.08]","[16739, 16740, 16774, 16775, 16776]"
17753453,"[315.06, 804.77, 11804.17, 12545.84, 13341.44]","[16739, 16740, 19030, 16774, 16775]"
17688694,"[354.7, 957.21, 12008.73, 12068.31, 12863.91]","[16739, 16740, 19123, 16774, 16775]"
17709063,"[353.86, 956.37, 12009.56, 12069.15, 12864.75]","[16739, 16740, 19123, 16774, 16775]"
17743084,"[439.33, 9195.38, 11013.84, 11345.35, 12682.41]","[16739, 18938, 19125, 19124, 16775]"
