sa2_code,sa2_name,median_hh_income,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000,median_hh_income_2016,income_growth_rate,median_age
205011076,Drouin,1452.0,6371,1271,1929,0.1994977240621566,0.302778213781196,1170.0,0.241025641025641,39.0
205011077,Mount Baw Baw Region,1456.0,2008,414,582,0.2061752988047809,0.2898406374501992,1208.0,0.2052980132450331,48.0
205011078,Trafalgar (Vic.),1452.0,2736,581,844,0.2123538011695906,0.3084795321637427,1220.0,0.1901639344262295,43.0
205011079,Warragul,1590.0,7236,1395,2419,0.1927860696517413,0.3343007186290768,1211.0,0.3129644921552436,41.0
205021080,Alps - East,0.0,0,0,0,,,,,0.0
205021081,Bairnsdale,1194.0,5575,1382,1292,0.2478923766816143,0.2317488789237668,985.0,0.2121827411167512,45.0
205021082,Bruthen - Omeo,1323.0,2679,582,709,0.2172452407614781,0.2646509891750653,1082.0,0.2227356746765249,48.0
205021083,Lake King,0.0,0,0,0,,,,,0.0
205021084,Lakes Entrance,1014.0,4076,1145,773,0.2809126594700687,0.1896467124631992,889.0,0.140607424071991,55.0
205021085,Orbost,926.0,2403,792,394,0.3295880149812734,0.1639617145235122,769.0,0.2041612483745123,55.0
205021086,Paynesville,1071.0,2701,674,514,0.249537208441318,0.1902998889300259,914.0,0.1717724288840262,61.0
205031087,Foster,1110.0,3398,956,720,0.2813419658622719,0.2118893466745144,912.0,0.2171052631578947,54.0
205031088,French Island,1014.0,44,14,6,0.3181818181818182,0.1363636363636363,477.0,1.1257861635220126,52.0
205031089,Korumburra,1384.0,3156,689,903,0.2183143219264892,0.2861216730038022,1075.0,0.2874418604651163,46.0
205031090,Leongatha,1315.0,3887,939,1088,0.241574479032673,0.2799073835863133,1128.0,0.1657801418439716,47.0
205031091,Phillip Island,1175.0,4840,1251,1066,0.2584710743801653,0.2202479338842975,947.0,0.2407602956705385,52.0
205031092,Wilsons Promontory,1333.0,8,0,0,0.0,0.0,2249.0,-0.4072921298354824,31.0
205031093,Wonthaggi - Inverloch,1154.0,9702,2629,2172,0.2709750566893424,0.2238713667285095,909.0,0.2695269526952695,51.0
205041094,Churchill,1409.0,3747,793,1099,0.2116359754470242,0.2933013077128369,1265.0,0.1138339920948616,42.0
205041095,Moe - Newborough,1017.0,6400,2065,1292,0.32265625,0.201875,872.0,0.1662844036697247,45.0
205041096,Morwell,942.0,5160,1722,835,0.3337209302325581,0.1618217054263566,808.0,0.1658415841584158,43.0
205041098,Yallourn North - Glengarry,1656.0,1425,254,505,0.1782456140350877,0.3543859649122807,1370.0,0.2087591240875912,41.0
205041493,Traralgon - East,1386.0,3955,980,1137,0.247787610619469,0.2874841972187105,,,41.0
205041494,Traralgon - West,1635.0,5573,1074,1918,0.1927148752915844,0.3441593396734254,,,39.0
205051099,Alps - West,699.0,8,3,0,0.375,0.0,850.0,-0.1776470588235294,65.0
205051100,Longford - Loch Sport,1079.0,1586,510,344,0.3215636822194199,0.2168978562421185,943.0,0.144220572640509,52.0
205051101,Maffra,1324.0,4862,1144,1308,0.2352941176470588,0.2690250925545043,1125.0,0.1768888888888889,43.0
205051102,Rosedale,1487.0,1198,222,368,0.1853088480801335,0.3071786310517529,1314.0,0.1316590563165905,39.0
205051103,Sale,1331.0,5280,1276,1405,0.2416666666666666,0.2660984848484848,1162.0,0.1454388984509466,42.0
205051104,Yarram,1012.0,2057,609,376,0.2960622265435099,0.182790471560525,901.0,0.123196448390677,53.0
206011106,Brunswick East,2087.0,4844,657,2105,0.1356317093311313,0.4345582163501238,1723.0,0.2112594312246082,33.0
206011107,Brunswick West,1786.0,5217,959,1827,0.1838221199923327,0.3502012650948821,1416.0,0.2612994350282486,35.0
206011109,Pascoe Vale South,2245.0,2786,458,1228,0.1643933955491744,0.4407753050969131,1840.0,0.2201086956521739,39.0
206011495,Brunswick - North,2062.0,4386,701,1824,0.1598267213862289,0.4158686730506156,,,34.0
206011496,Brunswick - South,2126.0,4542,752,1938,0.1655658300308234,0.4266842800528401,,,34.0
206011497,Coburg - East,1944.0,4048,753,1590,0.1860177865612648,0.3927865612648221,,,37.0
206011498,Coburg - West,2186.0,3898,715,1669,0.1834273986659825,0.4281682914315033,,,37.0
206021110,Alphington - Fairfield,2112.0,2666,534,985,0.2003000750187547,0.3694673668417104,1818.0,0.1617161716171617,38.0
206021112,Thornbury,1978.0,6171,1193,2346,0.1933236104359099,0.3801652892561983,1537.0,0.2869225764476252,37.0
206021499,Northcote - East,2251.0,4201,802,1662,0.1909069269221613,0.3956200904546536,,,38.0
206021500,Northcote - West,2318.0,3012,504,1313,0.1673306772908366,0.4359229747675963,,,36.0
206031113,Ascot Vale,2192.0,4239,872,1635,0.2057088936069827,0.3857041755130927,1757.0,0.2475811041548093,37.0
206031115,Flemington,1571.0,3393,829,1008,0.2443265546713822,0.2970822281167108,1265.0,0.241897233201581,34.0
206031116,Moonee Ponds,2111.0,5122,904,2015,0.1764935572042171,0.3934010152284264,1861.0,0.1343363782912412,38.0
