sa2_code,sa2_name,median_hh_income
213041575,Hillside,2212.0
213041576,Kurunjang - Toolern Vale,1556.0
213041577,Melton,1061.0
213041578,Melton South - Weir Views,1363.0
213051361,Hoppers Crossing - North,1705.0
213051362,Hoppers Crossing - South,1470.0
213051363,Laverton,2091.0
213051368,Werribee - South,1802.0
213051464,Point Cook - East,2381.0
213051466,Point Cook - South,2522.0
213051467,Werribee - East,1374.0
213051468,Werribee - West,1995.0
213051579,Manor Lakes - Quandong,2309.0
213051580,Point Cook - North East,2185.0
213051581,Point Cook - North West,2439.0
213051582,Tarneit (West) - Mount Cottrell,2086.0
213051583,Tarneit - Central,2164.0
213051584,Tarneit - North,2198.0
213051585,Tarneit - South,1885.0
213051586,Truganina - North,2307.0
213051587,Truganina - South East,2337.0
213051588,Truganina - South West,1947.0
213051589,Wyndham Vale - North,1862.0
213051590,Wyndham Vale - South,1766.0
214011370,Carrum Downs,1658.0
214011371,Frankston,1383.0
214011372,Frankston North,1313.0
214011373,Frankston South,2038.0
214011374,Langwarrin,1950.0
214011375,Seaford (Vic.),1500.0
214011376,Skye - Sandhurst,2224.0
214021377,Dromana,1398.0
214021378,Flinders,2197.0
214021379,Hastings - Somers,1407.0
214021381,Mount Eliza,2547.0
214021382,Mount Martha,2097.0
214021383,Point Nepean,1430.0
214021384,Rosebud - McCrae,1155.0
214021385,Somerville,1781.0
214021591,Mornington - East,1502.0
214021592,Mornington - West,1389.0
215011386,Ararat,1216.0
215011387,Ararat Surrounds,1384.0
215011388,Horsham,1347.0
215011389,Horsham Surrounds,1567.0
215011390,Nhill Region,1179.0
215011391,St Arnaud,993.0
215011392,Stawell,1184.0
215011393,West Wimmera,1176.0
215011394,Yarriambiack,1099.0
215021395,Irymple,1716.0
215021396,Merbein,1338.0
215021398,Mildura Surrounds,1239.0
215021399,Red Cliffs,1346.0
215021469,Mildura - North,1210.0
215021470,Mildura - South,1407.0
215031400,Buloke,1089.0
215031401,Gannawarra,1114.0
215031402,Kerang,1006.0
215031403,Robinvale,1347.0
215031404,Swan Hill,1390.0
215031405,Swan Hill Surrounds,1373.0
216011406,Echuca,1347.0
216011407,Kyabram,1228.0
216011408,Lockington - Gunbower,1428.0
216011409,Rochester,1166.0
216011410,Rushworth,1072.0
216021411,Cobram,1057.0
216021412,Moira,1361.0
216021413,Numurkah,1243.0
216021414,Yarrawonga,1149.0
216031415,Mooroopna,1121.0
216031416,Shepparton - North,1560.0
216031418,Shepparton Surrounds - East,1628.0
216031419,Shepparton Surrounds - West,1379.0
216031593,Kialla,2001.0
216031594,Shepparton - South East,1144.0
217011420,Glenelg (Vic.),1234.0
217011421,Hamilton (Vic.),1247.0
217011422,Portland,1200.0
217011423,Southern Grampians,1289.0
217031471,Camperdown,1129.0
217031472,Colac,1250.0
217031473,Colac Surrounds,1441.0
217031474,Corangamite - North,1183.0
217031475,Corangamite - South,1406.0
217031476,Otway,1167.0
217041477,Moyne - East,1513.0
217041478,Moyne - West,1522.0
217041479,Warrnambool - North,1451.0
217041480,Warrnambool - South,1380.0
297979799,Migratory - Offshore - Shipping (Vic.),0.0
299999499,No usual address (Vic.),0.0
