rental_id,top_distances,top_school_ids
17742979,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
17745424,"[765.52, 883.32, 1331.83, 2271.55, 2416.76]","[2111, 25, 2079, 2605, 2016]"
17686189,"[746.0, 863.79, 1224.51, 2252.03, 2397.24]","[2111, 25, 2079, 2605, 2016]"
17706683,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
17725049,"[746.0, 863.79, 1224.51, 2252.03, 2397.24]","[2111, 25, 2079, 2605, 2016]"
17731183,"[765.52, 883.32, 1331.83, 2271.55, 2416.76]","[2111, 25, 2079, 2605, 2016]"
16017754,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
10282068,"[774.81, 892.61, 1224.61, 2280.84, 2426.05]","[2111, 25, 2079, 2605, 2016]"
11115183,"[765.52, 883.32, 1331.83, 2271.55, 2416.76]","[2111, 25, 2079, 2605, 2016]"
12591363,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
17068968,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
17677973,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
17681226,"[746.0, 863.79, 1224.51, 2252.03, 2397.24]","[2111, 25, 2079, 2605, 2016]"
17682321,"[765.52, 883.32, 1331.83, 2271.55, 2416.76]","[2111, 25, 2079, 2605, 2016]"
17563579,"[704.67, 822.46, 1272.57, 2210.7, 2355.9]","[2111, 25, 2079, 2605, 2016]"
17752813,"[592.31, 710.1, 1363.37, 2098.34, 2243.55]","[2111, 25, 2079, 2605, 2016]"
17753750,"[618.74, 736.54, 1336.93, 2124.77, 2269.98]","[2111, 25, 2079, 2605, 2016]"
17666921,"[618.74, 736.54, 1336.93, 2124.77, 2269.98]","[2111, 25, 2079, 2605, 2016]"
17751079,"[592.31, 710.1, 1363.37, 2098.34, 2243.55]","[2111, 25, 2079, 2605, 2016]"
17691269,"[618.74, 736.54, 1336.93, 2124.77, 2269.98]","[2111, 25, 2079, 2605, 2016]"
17745514,"[592.31, 710.1, 1363.37, 2098.34, 2243.55]","[2111, 25, 2079, 2605, 2016]"
17721252,"[732.15, 849.95, 1378.34, 2238.18, 2311.04]","[2111, 25, 2079, 2605, 2016]"
17748801,"[672.72, 790.51, 1295.76, 2178.75, 2323.96]","[2111, 25, 2079, 2605, 2016]"
17728863,"[889.45, 1007.25, 1193.03, 2395.48, 2540.69]","[2111, 25, 2079, 2605, 2016]"
17745565,"[889.45, 1007.25, 1193.03, 2395.48, 2540.69]","[2111, 25, 2079, 2605, 2016]"
17746050,"[732.15, 849.95, 1378.34, 2238.18, 2311.04]","[2111, 25, 2079, 2605, 2016]"
17746656,"[889.45, 1007.25, 1193.03, 2395.48, 2540.69]","[2111, 25, 2079, 2605, 2016]"
14564452,"[732.15, 849.95, 1378.34, 2238.18, 2311.04]","[2111, 25, 2079, 2605, 2016]"
17741490,"[732.15, 849.95, 1378.34, 2238.18, 2311.04]","[2111, 25, 2079, 2605, 2016]"
17578373,"[592.31, 710.1, 1363.37, 2098.34, 2243.55]","[2111, 25, 2079, 2605, 2016]"
17693679,"[672.97, 790.76, 1296.0, 2179.0, 2324.21]","[2111, 25, 2079, 2605, 2016]"
17739034,"[889.45, 1007.25, 1193.03, 2395.48, 2540.69]","[2111, 25, 2079, 2605, 2016]"
17682739,"[1007.25, 1193.04, 1747.42, 1921.42, 2540.69]","[25, 2605, 2016, 2111, 2079]"
15747864,"[989.39, 1219.12, 1894.31, 2133.29, 2752.56]","[2605, 25, 2024, 2111, 2079]"
17169970,"[989.39, 1219.12, 1894.31, 2133.29, 2752.56]","[2605, 25, 2024, 2111, 2079]"
17739854,"[989.39, 1219.12, 1894.31, 2133.29, 2752.56]","[2605, 25, 2024, 2111, 2079]"
17744022,"[989.39, 1219.12, 1894.31, 2133.29, 2752.56]","[2605, 25, 2024, 2111, 2079]"
17740650,"[1029.51, 1218.52, 1704.7, 1943.68, 2562.95]","[25, 2605, 2024, 2111, 2079]"
17744741,"[997.96, 1186.96, 1673.14, 1912.13, 2531.4]","[25, 2605, 2024, 2111, 2079]"
14102778,"[1005.65, 1235.38, 1910.57, 2149.56, 2768.83]","[2605, 25, 2024, 2111, 2079]"
17722934,"[1005.65, 1235.38, 1910.57, 2149.56, 2768.83]","[2605, 25, 2024, 2111, 2079]"
17726749,"[1005.65, 1235.38, 1910.57, 2149.56, 2768.83]","[2605, 25, 2024, 2111, 2079]"
16539748,"[1005.65, 1235.38, 1910.57, 2149.56, 2768.83]","[2605, 25, 2024, 2111, 2079]"
16226147,"[1005.65, 1235.38, 1910.57, 2149.56, 2768.83]","[2605, 25, 2024, 2111, 2079]"
16536035,"[989.39, 1219.12, 1894.31, 2133.29, 2752.56]","[2605, 25, 2024, 2111, 2079]"
17563640,"[1006.26, 1235.99, 1911.18, 2150.17, 2769.44]","[2605, 25, 2024, 2111, 2079]"
17671792,"[989.39, 1219.12, 1894.31, 2133.29, 2752.56]","[2605, 25, 2024, 2111, 2079]"
17699808,"[1005.65, 1235.38, 1910.57, 2149.56, 2768.83]","[2605, 25, 2024, 2111, 2079]"
16074053,"[1021.73, 1210.73, 1696.91, 1935.9, 2555.17]","[25, 2605, 2024, 2111, 2079]"
17707047,"[980.11, 1165.9, 1655.3, 1894.28, 2513.55]","[25, 2605, 2024, 2111, 2079]"
17702422,"[1029.91, 1180.37, 2015.42, 2251.36, 3319.81]","[25, 2079, 2111, 2016, 5573]"
17713378,"[1249.12, 1320.4, 2187.0, 2655.35, 3491.38]","[2079, 25, 2111, 2016, 5573]"
17750941,"[892.58, 1091.13, 1605.01, 2084.51, 2909.39]","[25, 2079, 2111, 2016, 5573]"
17263068,"[847.89, 958.12, 1782.11, 2195.49, 3086.49]","[25, 2079, 2111, 2016, 5573]"
17732500,"[795.17, 1215.51, 1729.39, 2142.77, 3033.77]","[25, 2079, 2111, 2016, 5573]"
17743886,"[1208.45, 1368.54, 2315.05, 2354.05, 3658.44]","[2079, 25, 2016, 2111, 5573]"
17745615,"[921.34, 1050.59, 1855.57, 2268.95, 3159.95]","[25, 2079, 2111, 2016, 5573]"
17694624,"[949.09, 1347.64, 1934.6, 2296.7, 3238.99]","[25, 2079, 2111, 2016, 5573]"
17721569,"[882.69, 1081.25, 1595.12, 2074.62, 2899.5]","[25, 2079, 2111, 2016, 5573]"
15671365,"[643.43, 1178.91, 1628.94, 1991.03, 2933.32]","[25, 2079, 2111, 2016, 5573]"
17742880,"[548.87, 737.54, 1277.44, 1802.57, 2270.98]","[8405, 25, 2016, 2111, 2079]"
8434067,"[604.04, 792.7, 1332.6, 1857.73, 2326.14]","[8405, 25, 2016, 2111, 2079]"
17753557,"[921.2, 1239.52, 1310.36, 1979.7, 2448.68]","[2024, 25, 2111, 2016, 2079]"
17751346,"[921.2, 1239.52, 1310.36, 1979.7, 2448.68]","[2024, 25, 2111, 2016, 2079]"
13464906,"[1024.78, 1078.47, 1413.94, 1818.64, 2301.9]","[2024, 25, 2111, 2016, 2079]"
17749628,"[1027.59, 1081.29, 1416.75, 1821.46, 2304.71]","[2024, 25, 2111, 2016, 2079]"
14071521,"[970.97, 1024.66, 1360.13, 1764.84, 2248.09]","[2024, 25, 2111, 2016, 2079]"
17672823,"[1001.21, 1319.54, 1390.37, 2059.71, 2528.69]","[2024, 25, 2111, 2016, 2079]"
17745707,"[1027.59, 1081.29, 1416.75, 1821.46, 2304.71]","[2024, 25, 2111, 2016, 2079]"
15852302,"[710.17, 986.49, 1135.81, 1392.76, 1851.84]","[25, 2113, 2079, 2111, 2016]"
17074283,"[924.24, 1200.56, 1215.31, 1355.76, 2065.91]","[25, 2113, 2079, 2111, 2016]"
17738135,"[890.87, 1167.19, 1256.0, 1322.39, 2032.54]","[25, 2113, 2079, 2111, 2016]"
17746704,"[708.63, 1055.2, 1244.11, 1694.14, 2056.23]","[25, 2113, 2079, 2111, 2016]"
17746759,"[880.76, 1033.1, 1227.33, 1546.97, 2072.69]","[25, 2079, 2113, 2111, 2016]"
17747037,"[890.87, 1167.19, 1256.0, 1322.39, 2032.54]","[25, 2113, 2079, 2111, 2016]"
17748362,"[775.15, 1051.47, 1072.52, 1457.74, 1916.82]","[25, 2113, 2079, 2111, 2016]"
17748505,"[770.29, 1046.61, 1077.38, 1452.88, 1911.97]","[25, 2113, 2079, 2111, 2016]"
17752424,"[764.39, 1040.7, 1083.28, 1446.97, 1906.06]","[25, 2113, 2079, 2111, 2016]"
16521573,"[764.39, 1040.7, 1083.28, 1446.97, 1906.06]","[25, 2113, 2079, 2111, 2016]"
17691681,"[794.6, 1053.07, 1070.92, 1477.19, 1936.27]","[25, 2079, 2113, 2111, 2016]"
17724711,"[1191.4, 1313.85, 1365.79, 1467.72, 2333.07]","[25, 2079, 2111, 2113, 2016]"
17729225,"[764.39, 1040.7, 1083.28, 1446.97, 1906.06]","[25, 2113, 2079, 2111, 2016]"
17733942,"[880.06, 1032.4, 1226.63, 1546.28, 2071.99]","[25, 2079, 2113, 2111, 2016]"
17735385,"[888.51, 1164.83, 1253.64, 1320.03, 2030.18]","[25, 2113, 2079, 2111, 2016]"
17742984,"[764.39, 1040.7, 1083.28, 1446.97, 1906.06]","[25, 2113, 2079, 2111, 2016]"
15894463,"[880.06, 1032.4, 1226.63, 1546.28, 2071.99]","[25, 2079, 2113, 2111, 2016]"
16325784,"[888.51, 1164.83, 1253.64, 1320.03, 2030.18]","[25, 2113, 2079, 2111, 2016]"
17073434,"[775.83, 1052.15, 1071.84, 1458.42, 1917.5]","[25, 2113, 2079, 2111, 2016]"
17463936,"[775.15, 1051.47, 1072.52, 1457.74, 1916.82]","[25, 2113, 2079, 2111, 2016]"
17606541,"[880.06, 1032.4, 1226.63, 1546.28, 2071.99]","[25, 2079, 2113, 2111, 2016]"
17635243,"[764.39, 1040.7, 1083.28, 1446.97, 1906.06]","[25, 2113, 2079, 2111, 2016]"
17666738,"[764.39, 1040.7, 1083.28, 1446.97, 1906.06]","[25, 2113, 2079, 2111, 2016]"
17692581,"[890.87, 1167.19, 1256.0, 1322.39, 2032.54]","[25, 2113, 2079, 2111, 2016]"
17693966,"[374.62, 721.2, 1338.57, 1517.39, 1722.23]","[25, 2113, 2111, 2079, 2016]"
17704139,"[710.17, 986.49, 1135.81, 1392.76, 1851.84]","[25, 2113, 2079, 2111, 2016]"
17712288,"[1075.8, 1250.19, 1288.27, 1352.11, 2217.47]","[25, 2111, 2079, 2113, 2016]"
17722901,"[807.42, 1054.67, 1083.73, 1490.0, 1949.09]","[25, 2079, 2113, 2111, 2016]"
17725412,"[890.87, 1167.19, 1256.0, 1322.39, 2032.54]","[25, 2113, 2079, 2111, 2016]"
17727746,"[764.39, 1040.7, 1083.28, 1446.97, 1906.06]","[25, 2113, 2079, 2111, 2016]"
17727956,"[1033.48, 1207.88, 1309.8, 1340.46, 2175.16]","[25, 2111, 2113, 2079, 2016]"
16637090,"[775.15, 1051.47, 1072.52, 1457.74, 1916.82]","[25, 2113, 2079, 2111, 2016]"
16651211,"[775.15, 1051.47, 1072.52, 1457.74, 1916.82]","[25, 2113, 2079, 2111, 2016]"
17430354,"[1072.62, 1247.02, 1267.51, 1348.94, 2214.3]","[25, 2111, 2079, 2113, 2016]"
17606926,"[924.8, 1201.12, 1215.87, 1356.32, 2066.47]","[25, 2113, 2079, 2111, 2016]"
17625834,"[587.5, 934.07, 1422.08, 1573.01, 1935.1]","[25, 2113, 2079, 2111, 2016]"
15775515,"[1028.01, 1113.36, 1304.33, 1410.0, 2169.68]","[25, 2079, 2113, 2111, 2016]"
16500954,"[1028.01, 1113.36, 1304.33, 1410.0, 2169.68]","[25, 2079, 2113, 2111, 2016]"
17752433,"[720.32, 1071.11, 1276.97, 1789.5, 2142.32]","[2111, 25, 2113, 2079, 2016]"
17752651,"[1023.36, 1025.0, 1358.83, 1763.54, 2246.79]","[25, 2113, 2111, 2016, 2079]"
17752936,"[1035.23, 1253.91, 1255.55, 1994.09, 2289.53]","[2111, 25, 2113, 2016, 2079]"
17753871,"[686.67, 892.53, 1037.58, 1740.13, 1757.88]","[25, 2113, 2111, 2079, 2016]"
17754018,"[719.83, 925.69, 1070.74, 1773.29, 1791.05]","[25, 2113, 2111, 2079, 2016]"
17754023,"[1020.67, 1022.3, 1313.03, 1760.84, 2200.98]","[25, 2113, 2111, 2016, 2079]"
15926357,"[683.15, 889.01, 1034.06, 1736.61, 1754.37]","[25, 2113, 2111, 2079, 2016]"
17743558,"[557.68, 1124.91, 1330.77, 2112.23, 2196.13]","[2111, 25, 2113, 2079, 2016]"
17751172,"[1023.36, 1025.0, 1358.83, 1763.54, 2246.79]","[25, 2113, 2111, 2016, 2079]"
17751265,"[1014.11, 1025.48, 1260.65, 1999.19, 2152.43]","[2111, 25, 2113, 2016, 2079]"
