sa2_code,sa2_name,cnt_0_14,cnt_15_34,cnt_35_64,cnt_65_plus,pct_0_14,pct_15_34,pct_35_64,pct_65_plus
204021063,Benalla,1513,2165,3805,3129,0.139937106918239,0.20024047354790972,0.3519237883832778,0.28940066592674807
204021064,Benalla Surrounds,570,594,1650,950,0.15091342335186655,0.1572676727561557,0.4368546465448769,0.2515223722531109
204021065,Rutherglen,667,755,1569,1025,0.16456945472489515,0.18628176659264742,0.38712065136935603,0.2528990870959783
204021066,Wangaratta,3425,4446,7089,4579,0.1724398348605377,0.2238445272379418,0.3569126976135334,0.23054073104420503
204021067,Wangaratta Surrounds,1770,1672,4190,2219,0.17869762746087833,0.16880363452801617,0.4230186774356386,0.22402826855123675
204031068,Beechworth,801,769,2097,1262,0.16090799517878665,0.15447971072719968,0.42125351546805945,0.2535154680594616
204031069,Bright - Mount Beauty,1356,1729,3652,2089,0.15235955056179776,0.1942696629213483,0.4103370786516854,0.2347191011235955
204031070,Chiltern - Indigo Valley,524,620,1364,657,0.164366373902133,0.1944792973651192,0.42785445420326224,0.2060853199498118
204031071,Myrtleford,706,880,1860,1229,0.14860029467480532,0.18522416333403494,0.3914965270469375,0.2586823826562829
204031072,Towong,965,964,2490,1682,0.15592179673614479,0.15576021974470836,0.40232670867668446,0.27177249959605754
204031073,West Wodonga,3000,3801,5783,2694,0.19485580670303976,0.24688230709275136,0.375617043387893,0.17498051441932969
204031075,Yackandandah,1068,915,2197,1007,0.20405043943446693,0.17481849445930456,0.4197554451662209,0.19239587313717998
204031491,Baranduda - Leneva,3057,3651,4372,1593,0.23925804179384833,0.2857478281286687,0.34217734992564763,0.12467715426156374
204031492,Wodonga,2626,3777,5501,3055,0.1741841337224728,0.250530644733351,0.3648845847704962,0.20263995754842135
205011076,Drouin,4049,4732,6947,3897,0.2047638312936179,0.239304136745221,0.35131991503995147,0.19707696975826844
205011077,Mount Baw Baw Region,1116,1258,2696,1473,0.16955332725615316,0.19112731692494683,0.40960194469766026,0.22379216043755698
205011078,Trafalgar (Vic.),1557,1760,3124,1842,0.186244019138756,0.21052631578947367,0.3736842105263158,0.22033492822966508
205011079,Warragul,4269,5535,8353,4679,0.1851980391306234,0.24011973450175697,0.36237039607826127,0.20298468613075354
205021080,Alps - East,0,0,0,0,,,,
205021081,Bairnsdale,2703,3447,5370,3975,0.17220948012232415,0.21961009174311927,0.34212538226299694,0.25324923547400613
205021082,Bruthen - Omeo,1387,1543,3384,1950,0.16726965750120598,0.1860829715388326,0.4081041968162084,0.23516642547033284
205021083,Lake King,0,0,0,0,,,,
205021084,Lakes Entrance,1565,1674,4037,3772,0.14017017465293327,0.14993282579489475,0.361576354679803,0.3378414688759516
